MAC,Unix_time_Stamp,Date,Temp,Temp_sym,Humidity,Humidity_sym,Pressure,Pressure_sym,IDs_1,ID_1,Weight_1,Wt_sym_1,IDs_2,ID_2,Weight_2,Wt_sym_2,IDs_3,ID_3,Weight_3,Wt_sym_3,IDs_4,ID_4,Weight_4,Wt_sym_4,IDs_5,ID_5,Weight_5,Wt_sym_5
7C:DF:A1:E0:91:AC,1674574200,2023-01-24T15:30:00Z,22.1,C,30.7,%,96.144,hPa,id,1,820,g,id,2,170,g,id,3,579,g,id,4,516,g,id,5,399,g
7C:DF:A1:E0:91:AC,1674576000,2023-01-24T16:00:00Z,22.1,C,29.1,%,96.272,hPa,id,1,817,g,id,2,169,g,id,3,576,g,id,4,512,g,id,5,398,g
7C:DF:A1:E0:91:AC,1674577800,2023-01-24T16:30:00Z,21.1,C,29.6,%,96.379,hPa,id,1,814,g,id,2,169,g,id,3,573,g,id,4,509,g,id,5,397,g
7C:DF:A1:E0:91:AC,1674579600,2023-01-24T17:00:00Z,20.6,C,29.8,%,96.458,hPa,id,1,812,g,id,2,169,g,id,3,571,g,id,4,506,g,id,5,396,g
7C:DF:A1:E0:91:AC,1674581400,2023-01-24T17:30:00Z,20.2,C,30.5,%,96.552,hPa,id,1,809,g,id,2,168,g,id,3,568,g,id,4,504,g,id,5,395,g
7C:DF:A1:E0:91:AC,1674583200,2023-01-24T18:00:00Z,20.4,C,30.1,%,96.666,hPa,id,1,807,g,id,2,168,g,id,3,566,g,id,4,502,g,id,5,394,g
7C:DF:A1:E0:91:AC,1674585000,2023-01-24T18:30:00Z,20.1,C,30.3,%,96.715,hPa,id,1,804,g,id,2,167,g,id,3,564,g,id,4,500,g,id,5,393,g
7C:DF:A1:E0:91:AC,1674586800,2023-01-24T19:00:00Z,20.2,C,30.1,%,96.836,hPa,id,1,802,g,id,2,166,g,id,3,562,g,id,4,498,g,id,5,392,g
7C:DF:A1:E0:91:AC,1674588600,2023-01-24T19:30:00Z,19.9,C,30.5,%,96.938,hPa,id,1,799,g,id,2,166,g,id,3,560,g,id,4,496,g,id,5,391,g
7C:DF:A1:E0:91:AC,1674590400,2023-01-24T20:00:00Z,20.0,C,30.3,%,96.954,hPa,id,1,797,g,id,2,165,g,id,3,558,g,id,4,494,g,id,5,390,g
7C:DF:A1:E0:91:AC,1674592200,2023-01-24T20:30:00Z,20.0,C,30.2,%,97.059,hPa,id,1,795,g,id,2,165,g,id,3,556,g,id,4,493,g,id,5,389,g
7C:DF:A1:E0:91:AC,1674594000,2023-01-24T21:00:00Z,19.8,C,30.5,%,97.106,hPa,id,1,792,g,id,2,164,g,id,3,554,g,id,4,491,g,id,5,388,g
7C:DF:A1:E0:91:AC,1674595800,2023-01-24T21:30:00Z,19.6,C,30.5,%,97.177,hPa,id,1,790,g,id,2,164,g,id,3,552,g,id,4,489,g,id,5,386,g
7C:DF:A1:E0:91:AC,1674597600,2023-01-24T22:00:00Z,20.0,C,30.0,%,97.243,hPa,id,1,788,g,id,2,163,g,id,3,550,g,id,4,488,g,id,5,385,g
7C:DF:A1:E0:91:AC,1674599400,2023-01-24T22:30:00Z,20.0,C,29.9,%,97.32,hPa,id,1,786,g,id,2,162,g,id,3,549,g,id,4,486,g,id,5,384,g
7C:DF:A1:E0:91:AC,1674603000,2023-01-24T23:30:00Z,19.7,C,30.3,%,97.458,hPa,id,1,781,g,id,2,161,g,id,3,545,g,id,4,483,g,id,5,382,g
7C:DF:A1:E0:91:AC,1674608400,2023-01-25T01:00:00Z,19.5,C,30.2,%,97.606,hPa,id,1,775,g,id,2,160,g,id,3,539,g,id,4,478,g,id,5,379,g
7C:DF:A1:E0:91:AC,1674610200,2023-01-25T01:30:00Z,19.5,C,30.0,%,97.654,hPa,id,1,773,g,id,2,159,g,id,3,538,g,id,4,477,g,id,5,379,g
7C:DF:A1:E0:91:AC,1674612000,2023-01-25T02:00:00Z,19.3,C,30.4,%,97.67,hPa,id,1,770,g,id,2,159,g,id,3,536,g,id,4,475,g,id,5,378,g
7C:DF:A1:E0:91:AC,1674613800,2023-01-25T02:30:00Z,19.2,C,30.2,%,97.706,hPa,id,1,768,g,id,2,158,g,id,3,534,g,id,4,474,g,id,5,377,g
7C:DF:A1:E0:91:AC,1674615600,2023-01-25T03:00:00Z,19.1,C,30.1,%,97.743,hPa,id,1,766,g,id,2,158,g,id,3,532,g,id,4,472,g,id,5,376,g
7C:DF:A1:E0:91:AC,1674617400,2023-01-25T03:30:00Z,19.0,C,30.1,%,97.805,hPa,id,1,764,g,id,2,157,g,id,3,531,g,id,4,471,g,id,5,375,g
7C:DF:A1:E0:91:AC,1674619200,2023-01-25T04:00:00Z,19.0,C,29.9,%,97.857,hPa,id,1,762,g,id,2,157,g,id,3,529,g,id,4,469,g,id,5,374,g
7C:DF:A1:E0:91:AC,1674621000,2023-01-25T04:30:00Z,18.9,C,29.9,%,97.891,hPa,id,1,760,g,id,2,156,g,id,3,527,g,id,4,468,g,id,5,373,g
7C:DF:A1:E0:91:AC,1674622800,2023-01-25T05:00:00Z,18.9,C,29.5,%,97.959,hPa,id,1,758,g,id,2,156,g,id,3,526,g,id,4,466,g,id,5,372,g
7C:DF:A1:E0:91:AC,1674624600,2023-01-25T05:30:00Z,18.7,C,29.8,%,98.015,hPa,id,1,756,g,id,2,156,g,id,3,524,g,id,4,465,g,id,5,372,g
7C:DF:A1:E0:91:AC,1674626400,2023-01-25T06:00:00Z,18.7,C,29.6,%,98.078,hPa,id,1,753,g,id,2,155,g,id,3,522,g,id,4,464,g,id,5,371,g
7C:DF:A1:E0:91:AC,1674628200,2023-01-25T06:30:00Z,18.7,C,29.5,%,98.136,hPa,id,1,751,g,id,2,155,g,id,3,520,g,id,4,462,g,id,5,370,g
7C:DF:A1:E0:91:AC,1674630000,2023-01-25T07:00:00Z,19.0,C,29.0,%,98.208,hPa,id,1,750,g,id,2,154,g,id,3,519,g,id,4,461,g,id,5,369,g
7C:DF:A1:E0:91:AC,1674631800,2023-01-25T07:30:00Z,18.7,C,29.4,%,98.29,hPa,id,1,747,g,id,2,154,g,id,3,517,g,id,4,460,g,id,5,368,g
7C:DF:A1:E0:91:AC,1674633600,2023-01-25T08:00:00Z,18.9,C,29.1,%,98.38,hPa,id,1,745,g,id,2,153,g,id,3,516,g,id,4,459,g,id,5,367,g
7C:DF:A1:E0:91:AC,1674637200,2023-01-25T09:00:00Z,18.8,C,29.2,%,98.542,hPa,id,1,741,g,id,2,152,g,id,3,513,g,id,4,456,g,id,5,365,g
7C:DF:A1:E0:91:AC,1674651600,2023-01-25T13:00:00Z,18.8,C,28.6,%,99.026,hPa,id,1,725,g,id,2,149,g,id,3,500,g,id,4,447,g,id,5,359,g
7C:DF:A1:E0:91:AC,1674653400,2023-01-25T13:30:00Z,19.1,C,28.2,%,99.084,hPa,id,1,723,g,id,2,148,g,id,3,499,g,id,4,445,g,id,5,358,g
7C:DF:A1:E0:91:AC,1674655200,2023-01-25T14:00:00Z,18.8,C,28.3,%,99.153,hPa,id,1,721,g,id,2,148,g,id,3,497,g,id,4,444,g,id,5,357,g
7C:DF:A1:E0:91:AC,1674657000,2023-01-25T14:30:00Z,18.8,C,28.3,%,99.223,hPa,id,1,719,g,id,2,147,g,id,3,496,g,id,4,443,g,id,5,356,g
7C:DF:A1:E0:91:AC,1674664200,2023-01-25T16:30:00Z,18.5,C,28.1,%,99.475,hPa,id,1,711,g,id,2,146,g,id,3,490,g,id,4,438,g,id,5,353,g
7C:DF:A1:E0:91:AC,1674666000,2023-01-25T17:00:00Z,18.4,C,28.4,%,99.541,hPa,id,1,710,g,id,2,146,g,id,3,489,g,id,4,437,g,id,5,352,g
7C:DF:A1:E0:91:AC,1674669600,2023-01-25T18:00:00Z,18.4,C,28.3,%,99.71,hPa,id,1,706,g,id,2,145,g,id,3,486,g,id,4,435,g,id,5,351,g
7C:DF:A1:E0:91:AC,1674673200,2023-01-25T19:00:00Z,18.5,C,28.1,%,99.813,hPa,id,1,702,g,id,2,144,g,id,3,484,g,id,4,433,g,id,5,349,g
7C:DF:A1:E0:91:AC,1674680400,2023-01-25T21:00:00Z,18.5,C,28.8,%,100.012,hPa,id,1,695,g,id,2,143,g,id,3,478,g,id,4,429,g,id,5,347,g
7C:DF:A1:E0:91:AC,1674684000,2023-01-25T22:00:00Z,18.8,C,27.6,%,100.07,hPa,id,1,691,g,id,2,142,g,id,3,476,g,id,4,427,g,id,5,345,g
7C:DF:A1:E0:91:AC,1674687600,2023-01-25T23:00:00Z,18.2,C,27.8,%,100.145,hPa,id,1,688,g,id,2,141,g,id,3,473,g,id,4,425,g,id,5,344,g
7C:DF:A1:E0:91:AC,1674689400,2023-01-25T23:30:00Z,18.1,C,27.9,%,100.157,hPa,id,1,686,g,id,2,141,g,id,3,472,g,id,4,424,g,id,5,344,g
7C:DF:A1:E0:91:AC,1674694800,2023-01-26T01:00:00Z,17.9,C,27.9,%,100.163,hPa,id,1,681,g,id,2,140,g,id,3,469,g,id,4,421,g,id,5,341,g
7C:DF:A1:E0:91:AC,1674696600,2023-01-26T01:30:00Z,17.8,C,27.8,%,100.198,hPa,id,1,679,g,id,2,140,g,id,3,467,g,id,4,420,g,id,5,341,g
7C:DF:A1:E0:91:AC,1674698400,2023-01-26T02:00:00Z,17.8,C,27.6,%,100.19,hPa,id,1,677,g,id,2,140,g,id,3,466,g,id,4,419,g,id,5,340,g
7C:DF:A1:E0:91:AC,1674700200,2023-01-26T02:30:00Z,17.7,C,27.6,%,100.192,hPa,id,1,676,g,id,2,140,g,id,3,465,g,id,4,417,g,id,5,339,g
7C:DF:A1:E0:91:AC,1674702000,2023-01-26T03:00:00Z,17.5,C,27.6,%,100.201,hPa,id,1,674,g,id,2,139,g,id,3,464,g,id,4,416,g,id,5,339,g
